previewOnset,blockOnset,cue,trialStart,ISI,foodPic,foodNum,cond,likingRating,foodOnset,ratingOnset,effortOnset,foodDuration,ratingDuration,effortDuration,respCue,respRating,respEffort,rtCue,rtRating,rtEffort
153.121499899,156.139457022,LOOK,19187.422785883,1,IceCream10.jpg,14,LOOK,2,181.301398928001,186.303754832999,188.821693039001,5.00235590499869,2.51793820600142,2.51780810399941,1,2,NULL,1.32828932700068,1.43520141800036,NaN
191.372894669999,194.390991911001,CHOOSE,19203.528501852,1,Donuts29.jpg,18,CHOOSE,1,197.409111867,202.412103205999,204.929363514999,5.00299133899898,2.51726030899954,2.51774074700006,1,2,4,1.06942032299776,0.575390050998976,0.873940333000064
191.372894669999,194.390991911001,CHOOSE,19214.60368194,1,Cookies11.jpg,16,CHOOSE,4,208.481052009,213.483452732002,216.001199381,5.00240072300221,2.51774664899858,2.51797496799918,1,NULL,NULL,1.06942032299776,NaN,NaN
191.372894669999,194.390991911001,CHOOSE,19225.676257627,1,IceCream25.jpg,17,CHOOSE,4,219.552957263,224.555291182001,227.073155389,5.0023339190011,2.51786420699864,2.5178889939998,1,NULL,NULL,1.06942032299776,NaN,NaN
229.624394416001,232.642497781999,LOOK,19241.783247013,1,IceCream28.jpg,21,LOOK,1,235.660625401,240.662930655999,243.180827513999,5.00230525499865,2.51789685800031,2.51785079399997,NULL,NULL,NULL,NaN,NaN,NaN
229.624394416001,232.642497781999,LOOK,19252.856261893,1,Cookies01.jpg,20,LOOK,4,246.732464813002,251.734842163001,254.252662961,5.00237734999973,2.51782079799887,2.51789513299809,NULL,NULL,NULL,NaN,NaN,NaN
229.624394416001,232.642497781999,LOOK,19263.926753003,1,IceCream29.jpg,19,LOOK,3,257.804390107998,262.807387566001,265.324668166999,5.00299745800294,2.51728060099776,2.51788220500021,NULL,NULL,NULL,NaN,NaN,NaN
267.875891615,270.893978321001,CHOOSE,19280.033607119,1,Cookies20.jpg,22,CHOOSE,2,273.912097447999,278.914304173999,281.432255082,5.00220672599971,2.51795090800078,2.51787079600035,NULL,NULL,NULL,NaN,NaN,NaN
267.875891615,270.893978321001,CHOOSE,19291.106911733,1,Donuts27.jpg,23,CHOOSE,4,284.983913273001,289.986311478999,292.504197009999,5.00239820599745,2.5178855310005,2.51784187399971,NULL,NULL,NULL,NaN,NaN,NaN
267.875891615,270.893978321001,CHOOSE,19302.179074491,1,Donuts13.jpg,24,CHOOSE,1,296.055892632001,301.058900938999,303.576094207001,5.0030083069978,2.5171932680023,2.51780951399996,NULL,NULL,NULL,NaN,NaN,NaN
306.127224149001,309.145431434001,REGULATE,19318.283155324,1,Donuts18.jpg,25,REGULATE,1,312.163474457,317.165801047999,319.683682973999,5.00232659099856,2.51788192599997,2.51791297300224,NULL,NULL,NULL,NaN,NaN,NaN
306.127224149001,309.145431434001,REGULATE,19329.358646643,1,Cookies10.jpg,26,REGULATE,3,323.235353610002,328.237811940999,330.755567148,5.00245833099689,2.51775520700176,2.51796082099827,NULL,NULL,NULL,NaN,NaN,NaN
